,Category,Item_Description_PREPROCESSED
38,Advertising,National Advertising SMAP Media Buy Traditional Outdoor Out Home Castle
39,Property Services,Fixtures Store Construction Store Fixtures Store Fixtures Amp Inc
40,Property Services,Fixtures Store Construction Store Fixtures Store Fixtures Aerovox Corp
41,Passenger Road Transportation,Other Corporate Services Auto Leasing and Maintenance Auto Leasing Butler Manufacturing Corporate Services
42,Passenger Road Transportation,Jul Akorn Inc Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Travel and Entertainment Ground Transportation
43,Passenger Road Transportation,Brother Industries Ltd Adr Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Ground Transportation Travel and Entertainment
44,Property Services,Emc Energies Inc Base Rent Lease Rent Store Management Real Estate
45,Passenger Road Transportation,Oct Fort Howard Corp Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Travel and Entertainment Ground Transportation
46,Property Services,Real Estate Lease Rent Base Rent Commonwealth Edison Store Management
47,Agency Fee,Agency Fees Commissions Production Boeing SMAP Other Agency
48,Advertising,Digital Paid Media Media Buy Mobile Mail Direct Messaging Media Buy Boston Inc SMAP
49,Passenger Road Transportation,Cooper Laboratories Inc Stockholders Liquidating Trust Travel and Entertainment Ground Transportation Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only
50,Property Services,Lease Rent Real Estate Cazenove Inc Store Management Base Rent
51,Passenger Road Transportation,Auto Leasing Corporate Services Corning Inc Other Corporate Services Auto Leasing and Maintenance
52,Advertising,SMAP Talent Artists Models for Trade Show Events and Promotions Trade Show Expenses Controls Inc
53,Human Resources,Corporate Services Workmen Insurance Central Ohio Coal Commercial Insurance Workmen Insurance
54,Property Services,Store Management Base Rent Real Estate Lease Rent Twenty Services Inc
55,Passenger Road Transportation,Butler Manufacturing Auto Leasing Auto Leasing and Maintenance Other Corporate Services Corporate Services
56,Property Services,First Lexington Capital Corp Adv Base Rent Lease Rent Store Management Real Estate
57,Passenger Road Transportation,Other Corporate Services Corporate Services Auto Leasing and Maintenance Auto Passenger Road Transportation Repair and Maintenance Jun Daly John
58,Property Services,Chesapeake Utilities Corp Base Rent Lease Rent Store Management Real Estate
59,Labour,Contingent Labor Temp Labor Corporate Services Commercial Metals Nov Contingent Labor Temp Labor Human Resources
60,Passenger Road Transportation,Travel and Entertainment Miscellaneous Company Car Field Only Texas New Mexico Power Ground Transportation Miscellaneous Company Car Field Only
61,Property Services,Seymour Chapnick Final Site Clean General Requirements Store Construction General Contractor
62,Property Services,Asia Supernet Corp Store Construction General Contractor General Requirements Final Site Clean
63,Passenger Road Transportation,Brother Industries Ltd Adr Travel and Entertainment Ground Transportation Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only
64,Advertising,Charter Communications Inc SMAP Printed Collateral Direct Mail Post Card Mailer
65,Passenger Road Transportation,Corporate Services Auto Passenger Road Transportation Repair and Maintenance Other Corporate Services Auto Leasing and Maintenance Oct Daly John
66,Passenger Road Transportation,Ground Transportation Travel and Entertainment Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Fort Howard Corp
67,Passenger Road Transportation,Travel and Entertainment Miscellaneous Company Car Field Only Fortune National Corp Ground Transportation Miscellaneous Company Car Field Only
68,Passenger Road Transportation,Travel and Entertainment Miscellaneous Company Car Field Only Ground Transportation Miscellaneous Company Car Field Only Fortune Natural Resources Corp
69,Property Services,Bartlett Adv Base Rent Lease Rent Store Management Real Estate
70,Property Services,Store Management Base Rent Real Estate Lease Rent Continental Casualty
71,Passenger Road Transportation,Other Corporate Services Auto Leasing and Maintenance Auto Leasing Corning Inc Corporate Services
72,Property Services,General Contractor General Requirements Final Site Clean Ealing Corp Store Construction
73,Passenger Road Transportation,Ground Transportation Travel and Entertainment Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Metric Capital Corp
74,Advertising,Production SMAP Artworking Typesetting Prototype and Comp Production Packaging Design Champion Parts Inc
75,Property Services,First National Nebraska Inc Base Rent Sep Lease Rent Real Estate Store Management
76,Property Services,Real Estate Lease Rent Base Rent Atwood Oceanics Inc Store Management
77,Advertising,Events and Promotions SMAP Trade Show Expenses Talent Artists Models for Trade Show Echlin Inc
78,Property Services,Base Rent Store Management Tranzonic Companies Real Estate Lease Rent
79,Agency Fee,Other Agency SMAP First Wilkow Venture Agency Fees Commissions Production
80,Passenger Road Transportation,Travel and Entertainment Miscellaneous Company Car Field Only Metric Capital Corp Ground Transportation Miscellaneous Company Car Field Only
81,Property Services,Base Rent Store Management Three Departments Inc Lease Rent Real Estate
82,Passenger Road Transportation,Travel and Entertainment Miscellaneous Company Car Field Only Air Products Chemicals Inc Ground Transportation Miscellaneous Company Car Field Only
83,Property Services,Campbell Kenneth Base Rent Lease Rent Real Estate Store Management
84,Property Services,Mar Dollar General Corp Final Site Clean General Requirements Store Construction General Contractor
85,Passenger Road Transportation,Ground Transportation Travel and Entertainment Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Chyron Corp
86,Property Services,Real Estate Lease Rent Base Rent Frequency Electronics Inc Store Management
87,Passenger Road Transportation,Auto Leasing Corporate Services Corning Inc Auto Leasing and Maintenance Other Corporate Services
88,Agency Fee,Dow Jones Inc Public Relations Agency Agency Fees Commissions SMAP Events and Promotions
89,Advertising,National Advertising SMAP Media Buy Traditional Outdoor Out Home Apr Cgg Holding Inc
90,Labour,American Locker Group Inc Contingent Labor Temp Labor Contingent Labor Temp Labor Human Resources Corporate Services
91,Passenger Road Transportation,Brother Industries Ltd Adr Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Ground Transportation Travel and Entertainment
92,Passenger Road Transportation,Air Products Chemicals Inc Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Travel and Entertainment Ground Transportation
93,Property Services,General Contractor Store Construction General Requirements Final Site Clean Nov American Pad Paper
94,Passenger Road Transportation,Other Corporate Services Corporate Services Auto Leasing and Maintenance Auto Leasing Dec Butler Manufacturing
95,Property Services,Ameren Illinois Store Management Real Estate Lease Rent Base Rent
96,Passenger Road Transportation,Ground Transportation Travel and Entertainment Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Fox Pitt Kelton Inc
97,Labour,Texas American Resources Inc Contingent Labor Temp Labor Contingent Labor Temp Labor Corporate Services Human Resources
98,Labour,World Wide Ltd Contingent Labor Temp Labor Contingent Labor Temp Labor Human Resources Corporate Services
99,Property Services,Real Estate Lease Rent Base Rent Deere John Capital Corp Dec Store Management
100,Advertising,National Advertising Media Buy Traditional Newspaper Certron Corp SMAP
101,Passenger Road Transportation,Travel and Entertainment Miscellaneous Company Car Field Only Fort Howard Corp Ground Transportation Miscellaneous Company Car Field Only
102,Passenger Road Transportation,Corporate Services Auto Leasing and Maintenance Corning Inc Other Corporate Services Auto Leasing
103,Property Services,Base Rent Store Management Coventry Care Inc Real Estate Lease Rent
104,Agency Fee,SMAP Other Agency Production Agency Fees Commissions Jul Century Properties Equity Partnership
105,Passenger Road Transportation,Bodell Overcash Anderson Inc Auto Passenger Road Transportation Repair and Maintenance Auto Leasing and Maintenance Corporate Services Other Corporate Services
106,Property Services,Real Estate Store Management Lease Rent Base Rent American General Equity Services Corporation
107,Passenger Road Transportation,Auto Leasing Mar Corporate Services Corning Inc Other Corporate Services Auto Leasing and Maintenance
108,Advertising,Cambex Corp Outdoor Out Home Nov Media Buy Traditional National Advertising SMAP
109,Advertising,Artworking Typesetting Production Froley Revy Investment Inc SMAP Prototype and Comp Production Packaging Design
110,Property Services,General Contractor General Requirements Final Site Clean Franklin Resources Inc Store Construction
111,Passenger Road Transportation,Miscellaneous Company Car Field Only Travel and Entertainment Fortune National Corp Miscellaneous Company Car Field Only Ground Transportation
112,Property Services,Brl Enterprises Inc Base Rent Lease Rent Real Estate Store Management
113,Property Services,Final Site Clean May Store Construction Dentsply International Inc General Contractor General Requirements
114,Advertising,Aquila Distributors Inc Prototype and Comp Production Packaging Design Jul Artworking Typesetting Production SMAP
115,Labour,Contingent Labor Temp Labor Corporate Services Badger Meter Inc Human Resources Contingent Labor Temp Labor
116,Advertising,Events and Promotions Trade Show Expenses Talent Artists Models for Trade Show Dewey Electronics Corp SMAP
117,Property Services,Store Fixtures Store Construction Smith Brown Groover Inc Fixtures Store Fixtures
118,Property Services,Store Management Lease Rent Barecap Inc Real Estate Base Rent
119,Property Services,General Contractor General Requirements Final Site Clean Chubb Corp Store Construction
120,Passenger Road Transportation,Akorn Inc Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Travel and Entertainment Ground Transportation
121,Passenger Road Transportation,Corporate Services Auto Leasing Other Corporate Services Auto Leasing and Maintenance Corning Inc
122,Passenger Road Transportation,Texas New Mexico Power Travel and Entertainment Ground Transportation Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only
123,Property Services,General Contractor Store Construction General Requirements Final Site Clean Ealing Corp
124,Passenger Road Transportation,Miscellaneous Company Car Field Only Travel and Entertainment Brother Industries Ltd Adr Miscellaneous Company Car Field Only Ground Transportation
125,Labour,Cgs Scientific Corp Contingent Labor Temp Labor Contingent Labor Temp Labor Corporate Services Human Resources
126,Advertising,Magazines SMAP Consolidated Tomoka Land Jun Media Buy Traditional National Advertising
127,Passenger Road Transportation,Ground Transportation Travel and Entertainment Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Akzo Nobel
128,Property Services,Real Estate Store Management Lease Rent Base Rent Apr Central Hudson Gas Electric Corp
129,Passenger Road Transportation,Miscellaneous Company Car Field Only Ground Transportation Camelot Corp Travel and Entertainment Miscellaneous Company Car Field Only
130,Advertising,SMAP Catalogue National Advertising Media Buy Traditional Cannell Peter Inc
131,Property Services,Store Fixtures Fixtures Smith Brown Groover Inc Store Construction Store Fixtures
132,Property Services,Store Management Base Rent Real Estate Lease Rent Aug Albert Fried Llc
133,Labour,Contingent Labor Temp Labor Corporate Services Avnet Inc Contingent Labor Temp Labor Human Resources
134,Passenger Road Transportation,Auto Leasing Corporate Services Butler Manufacturing Other Corporate Services Auto Leasing and Maintenance
135,Advertising,SMAP Media Buy Traditional Designatronics Inc National Advertising Outdoor Out Home
136,Passenger Road Transportation,Miscellaneous Company Car Field Only Travel and Entertainment Metric Capital Corp Aug Miscellaneous Company Car Field Only Ground Transportation
137,Property Services,Sep Dollar General Corp Final Site Clean General Requirements Store Construction General Contractor
138,Passenger Road Transportation,Miscellaneous Company Car Field Only Travel and Entertainment Chyron Corp Ground Transportation Miscellaneous Company Car Field Only
139,Passenger Road Transportation,Ground Transportation Travel and Entertainment Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Dec Texas New Mexico Power
140,Labour,Contingent Labor Temp Labor Corporate Services Clarkson Industries Inc Contingent Labor Temp Labor Human Resources
141,Passenger Road Transportation,Miscellaneous Company Car Field Only Travel and Entertainment Cooper Laboratories Inc Stockholders Liquidating Trust Miscellaneous Company Car Field Only Ground Transportation
142,Property Services,Final Site Clean Store Construction Bromar Inc Feb General Requirements General Contractor
143,Passenger Road Transportation,Corning Inc Auto Leasing Auto Leasing and Maintenance Other Corporate Services Corporate Services
144,Passenger Road Transportation,Ground Transportation Travel and Entertainment Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Brother Industries Ltd Adr
145,Passenger Road Transportation,Ground Transportation Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Metric Capital Corp Travel and Entertainment
146,Advertising,Artworking Typesetting Production Florida Public Utilities SMAP Prototype and Comp Production Packaging Design
147,Property Services,Base Rent Store Management Academic Computer Systems Inc Real Estate Lease Rent
148,Property Services,Sep Dravo Corp Final Site Clean General Requirements Store Construction General Contractor
149,Passenger Road Transportation,Miscellaneous Company Car Field Only Travel and Entertainment Consolidated Edison New York Inc Ground Transportation Miscellaneous Company Car Field Only
150,Passenger Road Transportation,Corporate Services Auto Leasing and Maintenance Butler Manufacturing Other Corporate Services Auto Leasing
151,Advertising,Champion Parts Inc Prototype and Comp Production Packaging Design Artworking Typesetting SMAP Production
152,Labour,Human Resources Corporate Services Contingent Labor Temp Labor Contingent Labor Temp Labor Essex Group Inc
153,Passenger Road Transportation,Daly John Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Travel and Entertainment Ground Transportation
154,Passenger Road Transportation,Fortune National Corp Travel and Entertainment Ground Transportation Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only
155,Property Services,General Contractor General Requirements Final Site Clean Crane Facility Construction
156,Passenger Road Transportation,Air Products Chemicals Inc Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Travel and Entertainment Ground Transportation
157,Advertising,Aquila Distributors Inc Prototype and Comp Production Packaging Design Artworking Typesetting Production SMAP
158,Passenger Road Transportation,Ground Transportation Travel and Entertainment Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Fort Howard Corp
159,Advertising,SMAP Trade Show Expenses Ferro Corp Events and Promotions Talent Artists Models for Trade Show
160,Property Services,Amsted Industries Inc Base Rent Lease Rent Store Management Real Estate
161,Passenger Road Transportation,Other Corporate Services Auto Leasing and Maintenance Auto Passenger Road Transportation Repair and Maintenance Daly John May Corporate Services
162,Advertising,SMAP Artworking Typesetting Aquila Distributors Inc Production Prototype and Comp Production Packaging Design Jan
163,Passenger Road Transportation,Fortune Natural Resources Corp Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Ground Transportation Travel and Entertainment
164,Property Services,Consil Corp Final Site Clean General Requirements Store Construction General Contractor
165,Passenger Road Transportation,Burtschy Lawrence Robert Adv Miscellaneous Company Car Field Only Apr Miscellaneous Company Car Field Only Ground Transportation Travel and Entertainment
166,Passenger Road Transportation,Travel and Entertainment Miscellaneous Company Car Field Only Chyron Corp Ground Transportation Miscellaneous Company Car Field Only
167,Passenger Road Transportation,Travel and Entertainment Miscellaneous Company Car Field Only Ground Transportation Miscellaneous Company Car Field Only Texas New Mexico Power
168,Passenger Road Transportation,Brother Industries Ltd Adr Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Travel and Entertainment Ground Transportation
169,Property Services,Final Site Clean Store Construction American Pad Paper General Contractor General Requirements
170,Advertising,Production SMAP Artworking Typesetting Prototype and Comp Production Packaging Design Legg Mason Wood Walker Inc
171,Labour,Corporate Services Contingent Labor Temp Labor Foodarama Supermarkets Inc Human Resources Contingent Labor Temp Labor Dec
172,Property Services,Store Construction General Requirements Arabian American Development General Contractor Final Site Clean
173,Passenger Road Transportation,Travel and Entertainment Miscellaneous Company Car Field Only Ground Transportation Miscellaneous Company Car Field Only Hornblower Weeks Inc
174,Passenger Road Transportation,Auto Leasing Corporate Services Butler Manufacturing Auto Leasing and Maintenance Other Corporate Services
175,Advertising,Jul Cantel Industries Inc Catalogue Media Buy Traditional SMAP National Advertising
176,Property Services,Building and Property Insurance Corporate Services Avery Dennison Corp Commercial Insurance Building and Property Insurance
177,Property Services,General Contractor General Requirements Final Site Clean Chubb Corp Jun Store Construction
178,Advertising,SMAP Media Buy Traditional Brokerage Inc National Advertising Catalogue
179,Property Services,General Contractor Facility Construction General Requirements Final Site Clean Crane
180,Property Services,General Contractor General Requirements Final Site Clean Ealing Corp Jan Store Construction
181,Passenger Road Transportation,Miscellaneous Company Car Field Only Travel and Entertainment Fort Howard Corp Miscellaneous Company Car Field Only Ground Transportation
182,Labour,Corporate Services Contingent Labor Temp Labor Flanigans Enterprises Inc Human Resources Contingent Labor Temp Labor
183,Property Services,Base Rent Facility Management Applied Materials Inc Real Estate Lease Rent
184,Labour,Dec Ashland Inc Contingent Labor Temp Labor Contingent Labor Temp Labor Corporate Services Human Resources
185,Labour,Clarkson Industries Inc Contingent Labor Temp Labor Contingent Labor Temp Labor Corporate Services Human Resources
186,Labour,Contingent Labor Temp Labor Corporate Services American Crystal Sugar Human Resources Contingent Labor Temp Labor
187,Property Services,Farrel Corp Base Rent Jul Lease Rent Real Estate Store Management
188,Property Services,Store Construction General Requirements Arabian American Development General Contractor Final Site Clean
189,Property Services,Davis Company Base Rent Lease Rent Real Estate Facility Management
190,Property Services,Store Management Base Rent Real Estate Lease Rent Ferguson Marshall
191,Property Services,Base Rent Store Management Quixote Corp Lease Rent Real Estate
192,Agency Fee,SMAP Agency Fees Commissions Boeing Production Other Agency
193,Advertising,National Advertising SMAP Media Buy Traditional Magazines Crowell Weedon
194,Property Services,Jan Briggs Stratton Corp Base Rent Lease Rent Store Management Real Estate
195,Passenger Road Transportation,Corporate Services Auto Leasing Other Corporate Services Auto Leasing and Maintenance Butler Manufacturing
196,Passenger Road Transportation,Events and Promotions Agency Fees Commissions Public Relations Agency Auto Graphics Inc SMAP
197,Property Services,General Contractor General Requirements Final Site Clean Dollar General Corp Store Construction
198,Property Services,American Pad Paper Final Site Clean General Requirements General Contractor Store Construction
199,Passenger Road Transportation,Corning Inc Auto Leasing Jan Auto Leasing and Maintenance Other Corporate Services Corporate Services
200,Property Services,Store Construction General Requirements Colonial Trust Iii General Contractor Final Site Clean
201,Property Services,American Pad Paper Final Site Clean General Requirements General Contractor Store Construction
202,Property Services,British American Insurance Ltd Base Rent Lease Rent Real Estate Store Management
203,Passenger Road Transportation,Travel and Entertainment Miscellaneous Company Car Field Only Ground Transportation Miscellaneous Company Car Field Only Aug Allis Chalmers Corp
204,Property Services,Store Construction Final Site Clean General Contractor General Requirements American Pad Paper
205,Property Services,General Contractor Store Construction General Requirements Final Site Clean Assuranceamerica Corp
206,Agency Fee,SMAP Other Agency Production Agency Fees Commissions Digital Equipment Corp
207,Property Services,Arabian American Development Final Site Clean General Requirements Store Construction General Contractor
208,Passenger Road Transportation,Federal Realty Investment Trust Auto Passenger Road Transportation Repair and Maintenance Auto Leasing and Maintenance Other Corporate Services Corporate Services
209,Property Services,Real Estate Store Management Lease Rent Base Rent Commonwealth Gas
210,Property Services,Real Estate Lease Rent Base Rent First National Nebraska Inc Store Management
211,Passenger Road Transportation,Air Products Chemicals Inc Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Ground Transportation Travel and Entertainment
212,Passenger Road Transportation,Miscellaneous Company Car Field Only Travel and Entertainment Fortune Natural Resources Corp Miscellaneous Company Car Field Only Ground Transportation
213,Labour,Corporate Services Contingent Labor Temp Labor Human Resources Contingent Labor Temp Labor Firstar Corp
214,Passenger Road Transportation,Butler National Corp Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Travel and Entertainment Ground Transportation
215,Advertising,Catalogue SMAP Pepper National Advertising Media Buy Traditional
216,Advertising,Artworking Typesetting Production Froley Revy Investment Inc SMAP Prototype and Comp Production Packaging Design
217,Property Services,General Contractor Store Construction General Requirements Final Site Clean Dec Allcity Insurance
218,Advertising,Paid Social Content Production with Influencer SMAP Consolidated Tomoka Land Digital Paid Media Media Buy Social
219,Property Services,Farm Fish Inc Base Rent Lease Rent Real Estate Store Management
220,Property Services,Store Management Base Rent Real Estate Lease Rent Cantor Fitzgerald
221,Passenger Road Transportation,Miscellaneous Company Car Field Only Travel and Entertainment Texas New Mexico Power Miscellaneous Company Car Field Only Ground Transportation
222,Passenger Road Transportation,Ground Transportation Travel and Entertainment Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Daly John
223,Property Services,Mar Flightsafety International Inc Final Site Clean General Requirements Facility Construction General Contractor
224,Advertising,Printed Collateral SMAP Direct Mail Post Card Mailer Fidelity Distributors Corporation
225,Passenger Road Transportation,Travel and Entertainment Miscellaneous Company Car Field Only Ground Transportation Miscellaneous Company Car Field Only Fort Howard Corp
226,Passenger Road Transportation,Corporate Services Auto Passenger Road Transportation Repair and Maintenance Other Corporate Services Auto Leasing and Maintenance Daly John
227,Property Services,Real Estate Lease Rent Base Rent Daiwa Capital Markets America Inc Store Management
228,Property Services,Real Estate Facility Management Lease Rent Base Rent Cabrera Capital Markets Inc
229,Passenger Road Transportation,Butler Manufacturing Auto Leasing Auto Leasing and Maintenance Corporate Services Other Corporate Services
230,Property Services,Store Construction General Requirements American Pad Paper General Contractor Final Site Clean
231,Passenger Road Transportation,Fort Howard Corp Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Travel and Entertainment Ground Transportation
232,Property Services,Base Rent Store Management Lexington Precision Corp Lease Rent Real Estate
233,Logistics,Freight Forwarders Services Other Dec Supply Chain Alabama Power Logistics Transportation Services
234,Passenger Road Transportation,Ground Transportation Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Akorn Inc Travel and Entertainment
235,Property Services,Final Site Clean Store Construction Colonial Trust Iii General Requirements General Contractor
236,Property Services,Store Management Lease Rent Commonwealth Edison Real Estate Base Rent
237,Passenger Road Transportation,Other Corporate Services Corporate Services Auto Leasing and Maintenance Auto Passenger Road Transportation Repair and Maintenance Daiwa Capital Markets America Inc
238,Labour,Essex Group Inc Contingent Labor Temp Labor Contingent Labor Temp Labor Corporate Services Human Resources
239,Property Services,American Pad Paper Final Site Clean General Requirements General Contractor Store Construction
240,Advertising,Champion Parts Inc Prototype and Comp Production Packaging Design Artworking Typesetting SMAP Production
241,Logistics,Logistics Transportation Services Freight Forwarders Services Other Alabama Power Supply Chain
242,Passenger Road Transportation,Miscellaneous Company Car Field Only Jul Travel and Entertainment Provident Companies Inc Ground Transportation Miscellaneous Company Car Field Only
243,Passenger Road Transportation,Miscellaneous Company Car Field Only Travel and Entertainment Texas New Mexico Power Ground Transportation Miscellaneous Company Car Field Only
244,Property Services,Final Site Clean Store Construction Westford Group Inc General Requirements General Contractor
245,Passenger Road Transportation,Travel and Entertainment Miscellaneous Company Car Field Only Cooper Laboratories Inc Stockholders Liquidating Trust Ground Transportation Miscellaneous Company Car Field Only
246,Property Services,Final Site Clean Store Construction Colonial Trust Iii General Requirements General Contractor
247,Property Services,Church Loans Investments Trust Final Site Clean General Requirements General Contractor Facility Construction
248,Labour,Corporate Services Contingent Labor Temp Labor Frozen Food Express Industries Inc Human Resources Contingent Labor Temp Labor
249,Passenger Road Transportation,Ground Transportation Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Butler National Corp Jan Travel and Entertainment
250,Passenger Road Transportation,Corporate Services Auto Leasing and Maintenance Daly John Other Corporate Services Auto Passenger Road Transportation Repair and Maintenance Dec
251,Property Services,Real Estate Lease Rent Base Rent Anthony Store Management
252,Passenger Road Transportation,Auto Leasing Corporate Services Butler Manufacturing Feb Auto Leasing and Maintenance Other Corporate Services
253,Advertising,SMAP Artworking Typesetting Champion Parts Inc Production Prototype and Comp Production Packaging Design
254,Passenger Road Transportation,Travel and Entertainment Miscellaneous Company Car Field Only Brother Industries Ltd Adr Ground Transportation Miscellaneous Company Car Field Only
255,Passenger Road Transportation,Daly John Auto Passenger Road Transportation Repair and Maintenance Auto Leasing and Maintenance Other Corporate Services Corporate Services
256,Human Resources,Benefits Human Resources Browning Ferris Industries Inc Corporate Services Retirement and Pension Funds
257,Passenger Road Transportation,Corporate Services Auto Passenger Road Transportation Repair and Maintenance Other Corporate Services Auto Leasing and Maintenance Daly John
258,Passenger Road Transportation,Daly John Auto Passenger Road Transportation Repair and Maintenance Mar Auto Leasing and Maintenance Other Corporate Services Corporate Services
259,Property Services,Real Estate Lease Rent Base Rent Bradley Real Estate Inc Store Management
260,Property Services,Black Decker Corp Final Site Clean General Requirements General Contractor Facility Construction
261,Passenger Road Transportation,Travel and Entertainment Miscellaneous Company Car Field Only Ground Transportation Miscellaneous Company Car Field Only Fortune National Corp
262,Agency Fee,Fnb Corp Dec SMAP Production Agency Fees Commissions Other Agency
263,Passenger Road Transportation,Travel and Entertainment Miscellaneous Company Car Field Only Fort Howard Corp Ground Transportation Miscellaneous Company Car Field Only
264,Property Services,Base Rent Store Management Brokerage Inc Real Estate Lease Rent
265,Property Services,Capital Southwest Corp Final Site Clean General Requirements Store Construction General Contractor
266,Passenger Road Transportation,Travel and Entertainment Miscellaneous Company Car Field Only Ground Transportation Miscellaneous Company Car Field Only Fort Howard Corp
267,Labour,Butler National Corp Contingent Labor Temp Labor Contingent Labor Temp Labor Human Resources Corporate Services
268,Property Services,Store Management Base Rent Real Estate Lease Rent Bancwest Corp
269,Passenger Road Transportation,Corning Inc Auto Leasing Auto Leasing and Maintenance Other Corporate Services Corporate Services
270,Property Services,Cabrera Capital Markets Inc Base Rent Lease Rent Facility Management Real Estate
