Category,Item_Description,Item_Description_PREPROCESSED
Labour,Contingent Labor/Temp Labor Corporate Services Bdi Investment Corp Oct2013 Contingent Labor/Temp Labor Human Resources,contingent labor temp labor corporate services bdi investment corp contingent labor temp labor human resources
Advertising,Cone Mills Corp Post Card/Mailer Nov2015 Direct Mail Printed Collateral SMAP,cone mills corp post card mailer direct mail printed collateral smap
Advertising,SMAP Media Buy - Traditional Data General Corp National Advertising Newspaper 2008-Jun ,smap media buy traditional data general corp national advertising newspaper
Property Services,Real Estate Store Management Lease/Rent Base Rent 2000-Sep  Cazenove Inc                                            /Bd,real estate store management lease rent base rent cazenove inc
Agency Fee,Agency Fees & Commissions 3 Production Feb2018 Allen Group Inc SMAP Other Agency,agency fees commissions production allen group inc smap other agency
Property Services,American Family Life Insurance Co /Wi Base Rent 2000-Dec  Lease/Rent Real Estate Store Management,american family life insurance base rent lease rent real estate store management
Labour,Contingent Labor/Temp Labor Corporate Services American Cattle Co Apr 2019 Contingent Labor/Temp Labor Human Resources,contingent labor temp labor corporate services american cattle apr contingent labor temp labor human resources
Agency Fee,SMAP Other Agency Production Agency Fees & Commissions 3 2019Dec Digital Equipment Corp,smap other agency production agency fees commissions digital equipment corp
Property Services,Dec-2003 Erly Industries Inc Final Site Clean Up General Requirements Store Construction General Contractor,erly industries inc final site clean general requirements store construction general contractor
Passenger Road Transportation,Ground Transportation Travel and Entertainment Company Car (Field Only) Company Car (Field Only) 2019-Nov  Akorn Inc,ground transportation travel and entertainment company car field only company car field only akorn inc
Passenger Road Transportation,Company Car (Field Only) Travel and Entertainment Fort Howard Corp Jul 2010 Company Car (Field Only) Ground Transportation,company car field only travel and entertainment fort howard corp jul company car field only ground transportation
Advertising,National Advertising SMAP Media Buy - Traditional Outdoor/Out of Home Jun-2003 Castle A M & Co,national advertising smap media buy traditional outdoor out home castle
Property Services,Fixtures Store Construction Store Fixtures Store Fixtures Aug2006 Amp Inc,fixtures store construction store fixtures store fixtures amp inc
Property Services,Fixtures Store Construction Store Fixtures Store Fixtures 2000Jun Aerovox Corp,fixtures store construction store fixtures store fixtures aerovox corp
Passenger Road Transportation,Other Corporate Services Auto Leasing and Maintenance Auto Leasing Butler Manufacturing Co Mar-2018 Corporate Services,other corporate services auto leasing and maintenance auto leasing butler manufacturing corporate services
Passenger Road Transportation,Jul 2014 Akorn Inc Company Car (Field Only) Company Car (Field Only) Travel and Entertainment Ground Transportation,jul akorn inc company car field only company car field only travel and entertainment ground transportation
Passenger Road Transportation,Brother Industries Ltd/Adr/ Company Car (Field Only) 2011Nov Company Car (Field Only) Ground Transportation Travel and Entertainment,brother industries ltd adr company car field only company car field only ground transportation travel and entertainment
Property Services,2016-Dec  Emc Energies Inc Base Rent Lease/Rent Store Management Real Estate,emc energies inc base rent lease rent store management real estate
Passenger Road Transportation,Oct 2002 Fort Howard Corp Company Car (Field Only) Company Car (Field Only) Travel and Entertainment Ground Transportation,oct fort howard corp company car field only company car field only travel and entertainment ground transportation
Property Services,Real Estate Lease/Rent Base Rent Commonwealth Edison Co 2019-Dec  Store Management,real estate lease rent base rent commonwealth edison store management
Agency Fee,Agency Fees & Commissions 3 Production Mar2002 Boeing Co SMAP Other Agency,agency fees commissions production boeing smap other agency
Advertising,Digital Paid Media Media Buy - Mobile or E-Mail Direct E-Messaging Media Buy Boston Co Inc Oct2016 SMAP,digital paid media media buy mobile mail direct messaging media buy boston inc smap
Passenger Road Transportation,Cooper Laboratories Inc Stockholders Liquidating Trust Jun-2014 Travel and Entertainment Ground Transportation Company Car (Field Only) Company Car (Field Only),cooper laboratories inc stockholders liquidating trust travel and entertainment ground transportation company car field only company car field only
Property Services,Lease/Rent Real Estate 2016-Jun  Cazenove Inc                                            /Bd Store Management Base Rent,lease rent real estate cazenove inc store management base rent
Passenger Road Transportation,Auto Leasing 2007Jun Corporate Services Corning Inc /Ny Other Corporate Services Auto Leasing and Maintenance,auto leasing corporate services corning inc other corporate services auto leasing and maintenance
Advertising,"SMAP Talent, Artists & Models for Trade Show Events and Promotions Trade Show Expenses 2009-Feb  Di An Controls Inc",smap talent artists models for trade show events and promotions trade show expenses controls inc
Human Resources,Corporate Services Workmen's Insurance Central Ohio Coal Co Commercial Insurance Workmen's Insurance 2018Aug,corporate services workmen insurance central ohio coal commercial insurance workmen insurance
Property Services,Store Management Base Rent Real Estate Lease/Rent 2018Mar Twenty Services Inc,store management base rent real estate lease rent twenty services inc
Passenger Road Transportation,Butler Manufacturing Co Auto Leasing Dec2014 Auto Leasing and Maintenance Other Corporate Services Corporate Services,butler manufacturing auto leasing auto leasing and maintenance other corporate services corporate services
Property Services,Jan2007 First Lexington Capital Corp                            /Adv Base Rent Lease/Rent Store Management Real Estate,first lexington capital corp adv base rent lease rent store management real estate
Passenger Road Transportation,Other Corporate Services Corporate Services Auto Leasing and Maintenance Auto Passenger Road Transportation Repair and Maintenance Jun 2009 Daly John J,other corporate services corporate services auto leasing and maintenance auto passenger road transportation repair and maintenance jun daly john
Property Services,2015-Apr  Chesapeake Utilities Corp Base Rent Lease/Rent Store Management Real Estate,chesapeake utilities corp base rent lease rent store management real estate
Labour,Contingent Labor/Temp Labor Corporate Services Commercial Metals Co Nov 2015 Contingent Labor/Temp Labor Human Resources,contingent labor temp labor corporate services commercial metals nov contingent labor temp labor human resources
Passenger Road Transportation,Travel and Entertainment Company Car (Field Only) Texas New Mexico Power Co Ground Transportation Company Car (Field Only) 2006Jun,travel and entertainment company car field only texas new mexico power ground transportation company car field only
Property Services,2019-Aug  Seymour Chapnick                                        /Bd Final Site Clean Up General Requirements Store Construction General Contractor,seymour chapnick final site clean general requirements store construction general contractor
Property Services,Asia Supernet Corp 2000-Sep  Store Construction General Contractor General Requirements Final Site Clean Up,asia supernet corp store construction general contractor general requirements final site clean
Passenger Road Transportation,Brother Industries Ltd/Adr/ Feb2014 Travel and Entertainment Ground Transportation Company Car (Field Only) Company Car (Field Only),brother industries ltd adr travel and entertainment ground transportation company car field only company car field only
Advertising,Charter Communications Inc Nov2012 SMAP Printed Collateral Direct Mail Post Card/Mailer,charter communications inc smap printed collateral direct mail post card mailer
Passenger Road Transportation,Corporate Services Auto Passenger Road Transportation Repair and Maintenance Other Corporate Services Auto Leasing and Maintenance Oct 2010 Daly John J,corporate services auto passenger road transportation repair and maintenance other corporate services auto leasing and maintenance oct daly john
Passenger Road Transportation,Ground Transportation Travel and Entertainment Company Car (Field Only) Company Car (Field Only) 2011Jun Fort Howard Corp,ground transportation travel and entertainment company car field only company car field only fort howard corp
Passenger Road Transportation,Travel and Entertainment Company Car (Field Only) Fortune National Corp Ground Transportation Company Car (Field Only) Mar-2014,travel and entertainment company car field only fortune national corp ground transportation company car field only
Passenger Road Transportation,Travel and Entertainment Company Car (Field Only) Ground Transportation Company Car (Field Only) Jan-2001 Fortune Natural Resources Corp,travel and entertainment company car field only ground transportation company car field only fortune natural resources corp
Property Services,Feb-2011 Bartlett & Co /Oh/                                      /Adv Base Rent Lease/Rent Store Management Real Estate,bartlett adv base rent lease rent store management real estate
Property Services,Store Management Base Rent Real Estate Lease/Rent Aug-2015 Continental Casualty Co,store management base rent real estate lease rent continental casualty
Passenger Road Transportation,Other Corporate Services Auto Leasing and Maintenance Auto Leasing Corning Inc /Ny Jul-2015 Corporate Services,other corporate services auto leasing and maintenance auto leasing corning inc corporate services
Property Services,General Contractor General Requirements Final Site Clean Up Ealing Corp 2000-Feb  Store Construction,general contractor general requirements final site clean ealing corp store construction
Passenger Road Transportation,Ground Transportation Travel and Entertainment Company Car (Field Only) Company Car (Field Only) Apr-2010 Metric Capital Corp                                     /Bd,ground transportation travel and entertainment company car field only company car field only metric capital corp
Advertising,Production SMAP Artworking/Typesetting Prototype and Comp Production/Packaging Design 2018-May  Champion Parts Inc,production smap artworking typesetting prototype and comp production packaging design champion parts inc
Property Services,First National Of Nebraska Inc Base Rent Sep 2013 Lease/Rent Real Estate Store Management,first national nebraska inc base rent sep lease rent real estate store management
Property Services,Real Estate Lease/Rent Base Rent Atwood Oceanics Inc Apr-2000 Store Management,real estate lease rent base rent atwood oceanics inc store management
Advertising,"Events and Promotions SMAP Trade Show Expenses Talent, Artists & Models for Trade Show Sep2005 Echlin Inc",events and promotions smap trade show expenses talent artists models for trade show echlin inc
Property Services,Base Rent Nov-2004 Store Management Tranzonic Companies Real Estate Lease/Rent,base rent store management tranzonic companies real estate lease rent
Agency Fee,Other Agency SMAP First Wilkow Venture 2004-May  Agency Fees & Commissions 3 Production,other agency smap first wilkow venture agency fees commissions production
Passenger Road Transportation,Travel and Entertainment Company Car (Field Only) Metric Capital Corp                                     /Bd Ground Transportation Company Car (Field Only) 2000Mar,travel and entertainment company car field only metric capital corp ground transportation company car field only
Property Services,Base Rent Store Management Three D Departments Inc 2013Jul Lease/Rent Real Estate,base rent store management three departments inc lease rent real estate
Passenger Road Transportation,Travel and Entertainment Company Car (Field Only) Air Products & Chemicals Inc /De/ Ground Transportation Company Car (Field Only) Sep-2019,travel and entertainment company car field only air products chemicals inc ground transportation company car field only
Property Services,Campbell Kenneth L Base Rent Sep2019 Lease/Rent Real Estate Store Management,campbell kenneth base rent lease rent real estate store management
Property Services,Mar 2017 Dollar General Corp Final Site Clean Up General Requirements Store Construction General Contractor,mar dollar general corp final site clean general requirements store construction general contractor
Passenger Road Transportation,Ground Transportation Travel and Entertainment Company Car (Field Only) Company Car (Field Only) 2015-Dec  Chyron Corp,ground transportation travel and entertainment company car field only company car field only chyron corp
Property Services,Real Estate Lease/Rent Base Rent Frequency Electronics Inc 2004-Mar  Store Management,real estate lease rent base rent frequency electronics inc store management
Passenger Road Transportation,Auto Leasing Corporate Services Corning Inc /Ny Nov2006 Auto Leasing and Maintenance Other Corporate Services,auto leasing corporate services corning inc auto leasing and maintenance other corporate services
Agency Fee,2014-Apr  Dow Jones & Co Inc Public Relations Agency Agency Fees & Commissions SMAP Events and Promotions,dow jones inc public relations agency agency fees commissions smap events and promotions
Advertising,National Advertising SMAP Media Buy - Traditional Outdoor/Out of Home Apr 2018 Cgg Holding (U.S.) Inc.,national advertising smap media buy traditional outdoor out home apr cgg holding inc
Labour,American Locker Group Inc Contingent Labor/Temp Labor Aug-2007 Contingent Labor/Temp Labor Human Resources Corporate Services,american locker group inc contingent labor temp labor contingent labor temp labor human resources corporate services
Passenger Road Transportation,Brother Industries Ltd/Adr/ Company Car (Field Only) Nov2012 Company Car (Field Only) Ground Transportation Travel and Entertainment,brother industries ltd adr company car field only company car field only ground transportation travel and entertainment
Passenger Road Transportation,2008-Mar  Air Products & Chemicals Inc /De/ Company Car (Field Only) Company Car (Field Only) Travel and Entertainment Ground Transportation,air products chemicals inc company car field only company car field only travel and entertainment ground transportation
Property Services,General Contractor Store Construction General Requirements Final Site Clean Up Nov 2007 American Pad & Paper Co,general contractor store construction general requirements final site clean nov american pad paper
Passenger Road Transportation,Other Corporate Services Corporate Services Auto Leasing and Maintenance Auto Leasing Dec 2001 Butler Manufacturing Co,other corporate services corporate services auto leasing and maintenance auto leasing dec butler manufacturing
Property Services,Ameren Illinois Co Jul-2012 Store Management Real Estate Lease/Rent Base Rent,ameren illinois store management real estate lease rent base rent
Passenger Road Transportation,Ground Transportation Travel and Entertainment Company Car (Field Only) Company Car (Field Only) Dec-2004 Fox Pitt Kelton Inc                                     /Bd,ground transportation travel and entertainment company car field only company car field only fox pitt kelton inc
Labour,May-2005 Texas American Resources Inc Contingent Labor/Temp Labor Contingent Labor/Temp Labor Corporate Services Human Resources,texas american resources inc contingent labor temp labor contingent labor temp labor corporate services human resources
Labour,World Wide Ltd Contingent Labor/Temp Labor 2011Nov Contingent Labor/Temp Labor Human Resources Corporate Services,world wide ltd contingent labor temp labor contingent labor temp labor human resources corporate services
Property Services,Real Estate Lease/Rent Base Rent Deere John Capital Corp Dec 2014 Store Management,real estate lease rent base rent deere john capital corp dec store management
Advertising,National Advertising Media Buy - Traditional Newspaper Certron Corp 2006Sep SMAP,national advertising media buy traditional newspaper certron corp smap
Passenger Road Transportation,Travel and Entertainment Company Car (Field Only) Fort Howard Corp Ground Transportation Company Car (Field Only) Nov2005,travel and entertainment company car field only fort howard corp ground transportation company car field only
Passenger Road Transportation,Corporate Services Auto Leasing and Maintenance Corning Inc /Ny Other Corporate Services Auto Leasing 2004Nov,corporate services auto leasing and maintenance corning inc other corporate services auto leasing
Property Services,Base Rent Mar2017 Store Management Coventry Care Inc Real Estate Lease/Rent,base rent store management coventry care inc real estate lease rent
Agency Fee,SMAP Other Agency Production Agency Fees & Commissions 3 Jul 2004 Century Properties Equity Partnership 72,smap other agency production agency fees commissions jul century properties equity partnership
Passenger Road Transportation,"2008-Oct  Bodell Overcash Anderson & Co., Inc. Auto Passenger Road Transportation Repair and Maintenance Auto Leasing and Maintenance Corporate Services Other Corporate Services",bodell overcash anderson inc auto passenger road transportation repair and maintenance auto leasing and maintenance corporate services other corporate services
Property Services,Real Estate Store Management Lease/Rent Base Rent 2018Sep American General Equity Services Corporation,real estate store management lease rent base rent american general equity services corporation
Passenger Road Transportation,Auto Leasing Mar 2016 Corporate Services Corning Inc /Ny Other Corporate Services Auto Leasing and Maintenance,auto leasing mar corporate services corning inc other corporate services auto leasing and maintenance
Advertising,Cambex Corp Outdoor/Out of Home Nov 2018 Media Buy - Traditional National Advertising SMAP,cambex corp outdoor out home nov media buy traditional national advertising smap
Advertising,Artworking/Typesetting Production Aug-2016 Froley Revy Investment Co Inc SMAP Prototype and Comp Production/Packaging Design,artworking typesetting production froley revy investment inc smap prototype and comp production packaging design
Property Services,General Contractor General Requirements Final Site Clean Up Franklin Resources Inc 2013-Jul  Store Construction,general contractor general requirements final site clean franklin resources inc store construction
Passenger Road Transportation,Company Car (Field Only) Travel and Entertainment Fortune National Corp 2009-Jun  Company Car (Field Only) Ground Transportation,company car field only travel and entertainment fortune national corp company car field only ground transportation
Property Services,Brl Enterprises Inc Base Rent 2019-Dec  Lease/Rent Real Estate Store Management,brl enterprises inc base rent lease rent real estate store management
Property Services,Final Site Clean Up May 2015 Store Construction Dentsply International Inc General Contractor General Requirements,final site clean may store construction dentsply international inc general contractor general requirements
Advertising,Aquila Distributors Inc                                 /Bd Prototype and Comp Production/Packaging Design Jul 2007 Artworking/Typesetting Production SMAP,aquila distributors inc prototype and comp production packaging design jul artworking typesetting production smap
Labour,Contingent Labor/Temp Labor 2015Oct Corporate Services Badger Meter Inc Human Resources Contingent Labor/Temp Labor,contingent labor temp labor corporate services badger meter inc human resources contingent labor temp labor
Advertising,"Events and Promotions Trade Show Expenses Talent, Artists & Models for Trade Show Dewey Electronics Corp May-2008 SMAP",events and promotions trade show expenses talent artists models for trade show dewey electronics corp smap
Property Services,Store Fixtures 2018Apr Store Construction Smith Brown & Groover Inc Fixtures Store Fixtures,store fixtures store construction smith brown groover inc fixtures store fixtures
Property Services,Store Management Lease/Rent Barecap Inc Real Estate Base Rent May2012,store management lease rent barecap inc real estate base rent
Property Services,General Contractor General Requirements Final Site Clean Up Chubb Corp Nov2016 Store Construction,general contractor general requirements final site clean chubb corp store construction
Passenger Road Transportation,2004May Akorn Inc Company Car (Field Only) Company Car (Field Only) Travel and Entertainment Ground Transportation,akorn inc company car field only company car field only travel and entertainment ground transportation
Passenger Road Transportation,Corporate Services Auto Leasing Other Corporate Services Auto Leasing and Maintenance 2002-Oct  Corning Inc /Ny,corporate services auto leasing other corporate services auto leasing and maintenance corning inc
Passenger Road Transportation,Texas New Mexico Power Co 2010Feb Travel and Entertainment Ground Transportation Company Car (Field Only) Company Car (Field Only),texas new mexico power travel and entertainment ground transportation company car field only company car field only
Property Services,General Contractor Store Construction General Requirements Final Site Clean Up Sep-2004 Ealing Corp,general contractor store construction general requirements final site clean ealing corp
Passenger Road Transportation,Company Car (Field Only) Travel and Entertainment Brother Industries Ltd/Adr/ 2009-Dec  Company Car (Field Only) Ground Transportation,company car field only travel and entertainment brother industries ltd adr company car field only ground transportation
Labour,Mar2000 Cgs Scientific Corp Contingent Labor/Temp Labor Contingent Labor/Temp Labor Corporate Services Human Resources,cgs scientific corp contingent labor temp labor contingent labor temp labor corporate services human resources
Advertising,Magazines SMAP Consolidated Tomoka Land Co Jun 2000 Media Buy - Traditional National Advertising,magazines smap consolidated tomoka land jun media buy traditional national advertising
Passenger Road Transportation,Ground Transportation Travel and Entertainment Company Car (Field Only) Company Car (Field Only) 2008Oct Akzo Nobel Nv,ground transportation travel and entertainment company car field only company car field only akzo nobel
Property Services,Real Estate Store Management Lease/Rent Base Rent Apr 2002 Central Hudson Gas & Electric Corp,real estate store management lease rent base rent apr central hudson gas electric corp
Passenger Road Transportation,Company Car (Field Only) Ground Transportation 2016-Nov  Camelot Corp Travel and Entertainment Company Car (Field Only),company car field only ground transportation camelot corp travel and entertainment company car field only
Advertising,SMAP Catalogue National Advertising Media Buy - Traditional 2010Feb Cannell Peter B & Co Inc,smap catalogue national advertising media buy traditional cannell peter inc
Property Services,Store Fixtures Fixtures Sep-2017 Smith Brown & Groover Inc Store Construction Store Fixtures,store fixtures fixtures smith brown groover inc store construction store fixtures
Property Services,Store Management Base Rent Real Estate Lease/Rent Aug 2004 Albert Fried & Co Llc,store management base rent real estate lease rent aug albert fried llc
Labour,Contingent Labor/Temp Labor Corporate Services Avnet Inc Nov-2019 Contingent Labor/Temp Labor Human Resources,contingent labor temp labor corporate services avnet inc contingent labor temp labor human resources
Passenger Road Transportation,Auto Leasing Apr-2007 Corporate Services Butler Manufacturing Co Other Corporate Services Auto Leasing and Maintenance,auto leasing corporate services butler manufacturing other corporate services auto leasing and maintenance
Advertising,SMAP Media Buy - Traditional Designatronics Inc National Advertising Outdoor/Out of Home Jun-2010,smap media buy traditional designatronics inc national advertising outdoor out home
Passenger Road Transportation,Company Car (Field Only) Travel and Entertainment Metric Capital Corp                                     /Bd Aug 2003 Company Car (Field Only) Ground Transportation,company car field only travel and entertainment metric capital corp aug company car field only ground transportation
Property Services,Sep 2009 Dollar General Corp Final Site Clean Up General Requirements Store Construction General Contractor,sep dollar general corp final site clean general requirements store construction general contractor
Passenger Road Transportation,Company Car (Field Only) Oct-2007 Travel and Entertainment Chyron Corp Ground Transportation Company Car (Field Only),company car field only travel and entertainment chyron corp ground transportation company car field only
Passenger Road Transportation,Ground Transportation Travel and Entertainment Company Car (Field Only) Company Car (Field Only) Dec 2004 Texas New Mexico Power Co,ground transportation travel and entertainment company car field only company car field only dec texas new mexico power
Labour,Contingent Labor/Temp Labor Corporate Services Clarkson Industries Inc Aug2004 Contingent Labor/Temp Labor Human Resources,contingent labor temp labor corporate services clarkson industries inc contingent labor temp labor human resources
Passenger Road Transportation,Company Car (Field Only) Travel and Entertainment Cooper Laboratories Inc Stockholders Liquidating Trust 2012-Jul  Company Car (Field Only) Ground Transportation,company car field only travel and entertainment cooper laboratories inc stockholders liquidating trust company car field only ground transportation
Property Services,Final Site Clean Up Store Construction Bromar Inc Feb 2012 General Requirements General Contractor,final site clean store construction bromar inc feb general requirements general contractor
Passenger Road Transportation,Corning Inc /Ny Auto Leasing 2001Jul Auto Leasing and Maintenance Other Corporate Services Corporate Services,corning inc auto leasing auto leasing and maintenance other corporate services corporate services
Passenger Road Transportation,Ground Transportation Travel and Entertainment Company Car (Field Only) Company Car (Field Only) Aug2005 Brother Industries Ltd/Adr/,ground transportation travel and entertainment company car field only company car field only brother industries ltd adr
Passenger Road Transportation,Ground Transportation Company Car (Field Only) Company Car (Field Only) Metric Capital Corp                                     /Bd Nov-2004 Travel and Entertainment,ground transportation company car field only company car field only metric capital corp travel and entertainment
Advertising,Artworking/Typesetting Production Mar2008 Florida Public Utilities Co SMAP Prototype and Comp Production/Packaging Design,artworking typesetting production florida public utilities smap prototype and comp production packaging design
Property Services,Base Rent May-2016 Store Management Academic Computer Systems Inc Real Estate Lease/Rent,base rent store management academic computer systems inc real estate lease rent
Property Services,Sep 2014 Dravo Corp Final Site Clean Up General Requirements Store Construction General Contractor,sep dravo corp final site clean general requirements store construction general contractor
Passenger Road Transportation,Company Car (Field Only) 2008-Oct  Travel and Entertainment Consolidated Edison Co Of New York Inc Ground Transportation Company Car (Field Only),company car field only travel and entertainment consolidated edison new york inc ground transportation company car field only
Passenger Road Transportation,Corporate Services Auto Leasing and Maintenance Butler Manufacturing Co Other Corporate Services Auto Leasing 2013Mar,corporate services auto leasing and maintenance butler manufacturing other corporate services auto leasing
Advertising,Dec-2009 Champion Parts Inc Prototype and Comp Production/Packaging Design Artworking/Typesetting SMAP Production,champion parts inc prototype and comp production packaging design artworking typesetting smap production
Labour,Human Resources Corporate Services Contingent Labor/Temp Labor Contingent Labor/Temp Labor 2012-Jul  Essex Group Inc,human resources corporate services contingent labor temp labor contingent labor temp labor essex group inc
Passenger Road Transportation,2010Aug Daly John J Company Car (Field Only) Company Car (Field Only) Travel and Entertainment Ground Transportation,daly john company car field only company car field only travel and entertainment ground transportation
Passenger Road Transportation,Fortune National Corp Jan-2019 Travel and Entertainment Ground Transportation Company Car (Field Only) Company Car (Field Only),fortune national corp travel and entertainment ground transportation company car field only company car field only
Property Services,General Contractor General Requirements Final Site Clean Up Crane Co /De/ Jul-2004 Facility Construction,general contractor general requirements final site clean crane facility construction
Passenger Road Transportation,Dec2005 Air Products & Chemicals Inc /De/ Company Car (Field Only) Company Car (Field Only) Travel and Entertainment Ground Transportation,air products chemicals inc company car field only company car field only travel and entertainment ground transportation
Advertising,Aquila Distributors Inc                                 /Bd Prototype and Comp Production/Packaging Design Jul-2010 Artworking/Typesetting Production SMAP,aquila distributors inc prototype and comp production packaging design artworking typesetting production smap
Passenger Road Transportation,Ground Transportation Travel and Entertainment Company Car (Field Only) Company Car (Field Only) May-2011 Fort Howard Corp,ground transportation travel and entertainment company car field only company car field only fort howard corp
Advertising,"SMAP Trade Show Expenses Ferro Corp Events and Promotions Talent, Artists & Models for Trade Show 2013Jan",smap trade show expenses ferro corp events and promotions talent artists models for trade show
Property Services,2004-Nov  Amsted Industries Inc /De/ Base Rent Lease/Rent Store Management Real Estate,amsted industries inc base rent lease rent store management real estate
Passenger Road Transportation,Other Corporate Services Auto Leasing and Maintenance Auto Passenger Road Transportation Repair and Maintenance Daly John J May 2005 Corporate Services,other corporate services auto leasing and maintenance auto passenger road transportation repair and maintenance daly john may corporate services
Advertising,SMAP Artworking/Typesetting Aquila Distributors Inc                                 /Bd Production Prototype and Comp Production/Packaging Design Jan 2012,smap artworking typesetting aquila distributors inc production prototype and comp production packaging design jan
Passenger Road Transportation,Fortune Natural Resources Corp Company Car (Field Only) 2014-Jan  Company Car (Field Only) Ground Transportation Travel and Entertainment,fortune natural resources corp company car field only company car field only ground transportation travel and entertainment
Property Services,2019Mar Consil Corp Final Site Clean Up General Requirements Store Construction General Contractor,consil corp final site clean general requirements store construction general contractor
Passenger Road Transportation,Burtschy Lawrence Robert /Adv Company Car (Field Only) Apr 2011 Company Car (Field Only) Ground Transportation Travel and Entertainment,burtschy lawrence robert adv company car field only apr company car field only ground transportation travel and entertainment
Passenger Road Transportation,Travel and Entertainment Company Car (Field Only) Chyron Corp Ground Transportation Company Car (Field Only) Nov2000,travel and entertainment company car field only chyron corp ground transportation company car field only
Passenger Road Transportation,Travel and Entertainment Company Car (Field Only) Ground Transportation Company Car (Field Only) Jul2000 Texas New Mexico Power Co,travel and entertainment company car field only ground transportation company car field only texas new mexico power
Passenger Road Transportation,Feb2010 Brother Industries Ltd/Adr/ Company Car (Field Only) Company Car (Field Only) Travel and Entertainment Ground Transportation,brother industries ltd adr company car field only company car field only travel and entertainment ground transportation
