Category,Item_Description_PREPROCESSED
Property Services,general contractor facility construction general requirements final site clean crane
Property Services,general contractor general requirements final site clean ealing corp jan store construction
Passenger Road Transportation,company car field only travel and entertainment fort howard corp company car field only ground transportation
Labour,corporate services contingent labor temp labor flanigans enterprises inc human resources contingent labor temp labor
Property Services,base rent facility management applied materials inc real estate lease rent
Labour,dec ashland inc contingent labor temp labor contingent labor temp labor corporate services human resources
Labour,clarkson industries inc contingent labor temp labor contingent labor temp labor corporate services human resources
Labour,contingent labor temp labor corporate services american crystal sugar human resources contingent labor temp labor
Property Services,farrel corp base rent jul lease rent real estate store management
Property Services,store construction general requirements arabian american development general contractor final site clean
Property Services,davis company base rent lease rent real estate facility management
Property Services,store management base rent real estate lease rent ferguson marshall
Property Services,base rent store management quixote corp lease rent real estate
Agency Fee,smap agency fees commissions boeing production other agency
Advertising,national advertising smap media buy traditional magazines crowell weedon
Property Services,jan briggs stratton corp base rent lease rent store management real estate
Passenger Road Transportation,corporate services auto leasing other corporate services auto leasing and maintenance butler manufacturing
Passenger Road Transportation,events and promotions agency fees commissions public relations agency auto graphics inc smap
Property Services,general contractor general requirements final site clean dollar general corp store construction
Property Services,american pad paper final site clean general requirements general contractor store construction
Passenger Road Transportation,corning inc auto leasing jan auto leasing and maintenance other corporate services corporate services
Property Services,store construction general requirements colonial trust iii general contractor final site clean
Property Services,american pad paper final site clean general requirements general contractor store construction
Property Services,british american insurance ltd base rent lease rent real estate store management
Passenger Road Transportation,travel and entertainment company car field only ground transportation company car field only aug allis chalmers corp
Property Services,store construction final site clean general contractor general requirements american pad paper
Property Services,general contractor store construction general requirements final site clean assuranceamerica corp
Agency Fee,smap other agency production agency fees commissions digital equipment corp
Property Services,arabian american development final site clean general requirements store construction general contractor
Passenger Road Transportation,federal realty investment trust auto passenger road transportation repair and maintenance auto leasing and maintenance other corporate services corporate services
Property Services,real estate store management lease rent base rent commonwealth gas
Property Services,real estate lease rent base rent first national nebraska inc store management
Passenger Road Transportation,air products chemicals inc company car field only company car field only ground transportation travel and entertainment
Passenger Road Transportation,company car field only travel and entertainment fortune natural resources corp company car field only ground transportation
Labour,corporate services contingent labor temp labor human resources contingent labor temp labor firstar corp
Passenger Road Transportation,butler national corp company car field only company car field only travel and entertainment ground transportation
Advertising,catalogue smap pepper national advertising media buy traditional
Advertising,artworking typesetting production froley revy investment inc smap prototype and comp production packaging design
Property Services,general contractor store construction general requirements final site clean dec allcity insurance
Advertising,paid social content production with influencer smap consolidated tomoka land digital paid media media buy social
Property Services,farm fish inc base rent lease rent real estate store management
Property Services,store management base rent real estate lease rent cantor fitzgerald
Passenger Road Transportation,company car field only travel and entertainment texas new mexico power company car field only ground transportation
Passenger Road Transportation,ground transportation travel and entertainment company car field only company car field only daly john
Property Services,mar flightsafety international inc final site clean general requirements facility construction general contractor
Advertising,printed collateral smap direct mail post card mailer fidelity distributors corporation
Passenger Road Transportation,travel and entertainment company car field only ground transportation company car field only fort howard corp
Passenger Road Transportation,corporate services auto passenger road transportation repair and maintenance other corporate services auto leasing and maintenance daly john
Property Services,real estate lease rent base rent daiwa capital markets america inc store management
Property Services,real estate facility management lease rent base rent cabrera capital markets inc
Passenger Road Transportation,butler manufacturing auto leasing auto leasing and maintenance corporate services other corporate services
Property Services,store construction general requirements american pad paper general contractor final site clean
Passenger Road Transportation,fort howard corp company car field only company car field only travel and entertainment ground transportation
Property Services,base rent store management lexington precision corp lease rent real estate
Logistics,freight forwarders services other dec supply chain alabama power logistics transportation services
Passenger Road Transportation,ground transportation company car field only company car field only akorn inc travel and entertainment
Property Services,final site clean store construction colonial trust iii general requirements general contractor
Property Services,store management lease rent commonwealth edison real estate base rent
Passenger Road Transportation,other corporate services corporate services auto leasing and maintenance auto passenger road transportation repair and maintenance daiwa capital markets america inc
Labour,essex group inc contingent labor temp labor contingent labor temp labor corporate services human resources
Property Services,american pad paper final site clean general requirements general contractor store construction
Advertising,champion parts inc prototype and comp production packaging design artworking typesetting smap production
Logistics,logistics transportation services freight forwarders services other alabama power supply chain
Passenger Road Transportation,company car field only jul travel and entertainment provident companies inc ground transportation company car field only
Passenger Road Transportation,company car field only travel and entertainment texas new mexico power ground transportation company car field only
Property Services,final site clean store construction westford group inc general requirements general contractor
Passenger Road Transportation,travel and entertainment company car field only cooper laboratories inc stockholders liquidating trust ground transportation company car field only
Property Services,final site clean store construction colonial trust iii general requirements general contractor
Property Services,church loans investments trust final site clean general requirements general contractor facility construction
Labour,corporate services contingent labor temp labor frozen food express industries inc human resources contingent labor temp labor
Passenger Road Transportation,ground transportation company car field only company car field only butler national corp jan travel and entertainment
Passenger Road Transportation,corporate services auto leasing and maintenance daly john other corporate services auto passenger road transportation repair and maintenance dec
Property Services,real estate lease rent base rent anthony store management
Passenger Road Transportation,auto leasing corporate services butler manufacturing feb auto leasing and maintenance other corporate services
Advertising,smap artworking typesetting champion parts inc production prototype and comp production packaging design
Passenger Road Transportation,travel and entertainment company car field only brother industries ltd adr ground transportation company car field only
Passenger Road Transportation,daly john auto passenger road transportation repair and maintenance auto leasing and maintenance other corporate services corporate services
Human Resources,benefits human resources browning ferris industries inc corporate services retirement and pension funds
Passenger Road Transportation,corporate services auto passenger road transportation repair and maintenance other corporate services auto leasing and maintenance daly john
Passenger Road Transportation,daly john auto passenger road transportation repair and maintenance mar auto leasing and maintenance other corporate services corporate services
Property Services,real estate lease rent base rent bradley real estate inc store management
Property Services,black decker corp final site clean general requirements general contractor facility construction
Passenger Road Transportation,travel and entertainment company car field only ground transportation company car field only fortune national corp
Agency Fee,fnb corp dec smap production agency fees commissions other agency
Passenger Road Transportation,travel and entertainment company car field only fort howard corp ground transportation company car field only
Property Services,base rent store management brokerage inc real estate lease rent
Property Services,capital southwest corp final site clean general requirements store construction general contractor
Passenger Road Transportation,travel and entertainment company car field only ground transportation company car field only fort howard corp
Labour,butler national corp contingent labor temp labor contingent labor temp labor human resources corporate services
Property Services,store management base rent real estate lease rent bancwest corp
Passenger Road Transportation,corning inc auto leasing auto leasing and maintenance other corporate services corporate services
Property Services,cabrera capital markets inc base rent lease rent facility management real estate
Logistics,logistics transportation services parcel postage courier etz lavud ltd supply chain
Property Services,lease rent real estate electric inc store management base rent
Passenger Road Transportation,company car field only ground transportation texas new mexico power travel and entertainment company car field only
Passenger Road Transportation,company car field only travel and entertainment air products chemicals inc ground transportation company car field only
Property Services,general contractor general requirements final site clean erly industries inc store construction
Labour,contingent labor temp labor corporate services all comm media corp human resources contingent labor temp labor
Advertising,artworking typesetting production champion parts inc smap prototype and comp production packaging design
Passenger Road Transportation,fort howard corp company car field only company car field only ground transportation travel and entertainment
Advertising,media buy mobile mail direct digital paid media feb basic earth science systems inc smap messaging media buy
Property Services,store management base rent real estate lease rent electro rent corp
Property Services,final site clean store construction banner life insurance general contractor general requirements
Labour,contingent labor temp labor corporate services amhn inc human resources contingent labor temp labor
Property Services,final site clean store construction american pad paper general contractor general requirements
Property Services,general contractor store construction general requirements final site clean american pad paper
Passenger Road Transportation,ground transportation company car field only company car field only daly john travel and entertainment
Passenger Road Transportation,auto leasing corporate services butler manufacturing auto leasing and maintenance other corporate services
Passenger Road Transportation,travel and entertainment company car field only brother industries ltd adr ground transportation company car field only
Logistics,freight forwarders services other supply chain baxter international inc logistics transportation services
Advertising,smap artworking typesetting electro catheter corp production prototype and comp production packaging design
Passenger Road Transportation,fort howard corp company car field only company car field only travel and entertainment ground transportation
Passenger Road Transportation,ground transportation travel and entertainment company car field only company car field only fortune national corp
Passenger Road Transportation,metric capital corp company car field only company car field only travel and entertainment ground transportation
Advertising,certron corp newspaper media buy traditional national advertising smap
Passenger Road Transportation,daly john auto passenger road transportation repair and maintenance mar auto leasing and maintenance other corporate services corporate services
Property Services,dynamics research corp base rent lease rent real estate store management
Property Services,base rent store management boise cascade corp real estate lease rent
Charity & Trusts,charity organizations jan non procurable detroit edison charity organizations charity organizations
Passenger Road Transportation,fortune national corp company car field only company car field only travel and entertainment ground transportation
Passenger Road Transportation,fox pitt kelton inc travel and entertainment ground transportation company car field only company car field only
Property Services,diversified capital corporation final site clean general requirements general contractor store construction
Property Services,mar balanced security planning inc base rent lease rent store management real estate
Agency Fee,production agency fees commissions other agency canadian utilities ltd smap
Property Services,store management lease rent central maine power real estate base rent
Passenger Road Transportation,butler manufacturing jul corporate services other corporate services auto leasing and maintenance auto leasing
Passenger Road Transportation,corning inc auto passenger road transportation repair and maintenance auto leasing and maintenance other corporate services corporate services
Passenger Road Transportation,metric capital corp company car field only company car field only travel and entertainment ground transportation
Passenger Road Transportation,company car field only ground transportation akorn inc travel and entertainment company car field only
Advertising,national advertising smap media buy traditional television frawley corp
Passenger Road Transportation,company car field only travel and entertainment fortune national corp company car field only ground transportation
Property Services,store fixtures fixtures impala platinum holdings ltd adr store construction store fixtures
Passenger Road Transportation,auto leasing corporate services corning inc other corporate services auto leasing and maintenance
Passenger Road Transportation,travel and entertainment company car field only ground transportation company car field only oct allis chalmers corp
Passenger Road Transportation,butler manufacturing corporate services other corporate services auto leasing and maintenance auto leasing
Property Services,final site clean store construction dollar general corp general requirements general contractor
Passenger Road Transportation,company car field only ground transportation jan fortune national corp travel and entertainment company car field only
Property Services,smith brown groover inc store construction fixtures store fixtures store fixtures
Logistics,logistics supply chain transportation services freight forwarders services other alabama power
Passenger Road Transportation,company car field only travel and entertainment air products chemicals inc ground transportation company car field only
Passenger Road Transportation,ground transportation travel and entertainment company car field only company car field only consolidated edison new york inc
Property Services,church loans investments trust final site clean general requirements general contractor facility construction
Passenger Road Transportation,corning inc auto leasing auto leasing and maintenance other corporate services corporate services
Property Services,acmat corp base rent lease rent store management real estate
Passenger Road Transportation,brother industries ltd adr company car field only company car field only ground transportation travel and entertainment
Property Services,store management lease rent first investors sgl ppp for the accum inv inc real estate base rent
Passenger Road Transportation,brother industries ltd adr company car field only company car field only ground transportation travel and entertainment
Passenger Road Transportation,company car field only travel and entertainment airtex products inc mar company car field only ground transportation
Property Services,final site clean store construction banner life insurance general contractor general requirements
Property Services,real estate store management lease rent base rent equitable trust
Property Services,american stock transfer trust final site clean general requirements store construction general contractor
Advertising,dawson john associates inc talent artists models for trade show trade show expenses events and promotions smap
Advertising,post card mailer smap fidelity distributors corporation direct mail printed collateral
Passenger Road Transportation,corporate services auto leasing and maintenance butler manufacturing other corporate services auto leasing jun
Advertising,catalogue smap pepper national advertising media buy traditional
Property Services,store management lease rent brokerage inc real estate base rent
Property Services,store management base rent real estate lease rent fischer porter
Advertising,magazines feb smap eis international inc national advertising media buy traditional
Passenger Road Transportation,travel and entertainment company car field only ground transportation company car field only cooper laboratories inc stockholders liquidating trust
Property Services,general contractor general requirements final site clean allcity insurance store construction
Passenger Road Transportation,aug corning inc auto leasing auto leasing and maintenance corporate services other corporate services
Property Services,base rent store management flow lab inc mar lease rent real estate
Advertising,smap media buy traditional collins llc national advertising catalogue
Human Resources,corporate services retirement and pension funds human resources benefits amana society inc
Property Services,chesapeake shores beach country club store construction general contractor general requirements final site clean
Property Services,real estate lease rent base rent bio rad laboratories inc store management
Labour,contingent labor temp labor corporate services avon overseas capital corp may contingent labor temp labor human resources
Property Services,store management base rent real estate lease rent dupont nemours
Passenger Road Transportation,ground transportation travel and entertainment company car field only company car field only jun brother industries ltd adr
Passenger Road Transportation,ground transportation travel and entertainment company car field only company car field only fort howard corp
Passenger Road Transportation,ground transportation company car field only company car field only brother industries ltd adr travel and entertainment
Advertising,printed collateral smap direct mail post card mailer carr friesenhahn inc
Passenger Road Transportation,company car field only travel and entertainment akorn inc ground transportation company car field only
Passenger Road Transportation,corporate services auto leasing and maintenance corning inc other corporate services auto leasing
Passenger Road Transportation,company car field only travel and entertainment akzo nobel ground transportation company car field only
Human Resources,commercial insurance corporate services building and property insurance building and property insurance may conolog corp
Property Services,franklin resources inc final site clean general requirements store construction general contractor
Passenger Road Transportation,auto passenger road transportation repair and maintenance corporate services daly john other corporate services auto leasing and maintenance
Property Services,real estate store management lease rent base rent abco inc
Advertising,national advertising media buy traditional magazines designatronics inc smap
Property Services,store construction general requirements erly industries inc general contractor final site clean
Property Services,base rent apr store management aep texas central real estate lease rent
Passenger Road Transportation,brother industries ltd adr travel and entertainment ground transportation company car field only company car field only
Passenger Road Transportation,travel and entertainment company car field only alco standard corp ground transportation company car field only
Property Services,real estate lease rent base rent systems inc store management
Labour,betz laboratories inc final site clean jul general requirements general contractor store construction
Passenger Road Transportation,corporate services auto passenger road transportation repair and maintenance other corporate services auto leasing and maintenance daly john
Property Services,real estate lease rent base rent allegheny energy inc store management
Passenger Road Transportation,travel and entertainment company car field only ground transportation company car field only akorn inc
Passenger Road Transportation,company car field only ground transportation chyron corp travel and entertainment company car field only
Passenger Road Transportation,other corporate services auto leasing and maintenance auto leasing corning inc corporate services
Passenger Road Transportation,cooper laboratories inc stockholders liquidating trust company car field only company car field only ground transportation travel and entertainment
Agency Fee,production smap agency fees commissions other agency evans roger
Passenger Road Transportation,fortune national corp jan travel and entertainment ground transportation company car field only company car field only
