Category,Item_Description,UNSPSC_Segment_Code
Building and Facility Construction and Maintenance Services,Store Fixtures Sep 2010 Store Construction Impala Platinum Holdings Ltd/Adr/ Fixtures Store Fixtures,72000000
Management and Business Professionals and Administrative Services,Baltimore Gas & Electric Co Base Rent 2014Jul Lease/Rent Real Estate Store Management,80000000
Management and Business Professionals and Administrative Services,Store Management Base Rent Real Estate Lease/Rent Apr 2003 Barecap Inc,80000000
Transportation and Storage and Mail Services,Auto Passenger Road Transportation Repair and Maintenance Corporate Services Daly John J Oct2012 Auto Leasing and Maintenance Other Corporate Services,78000000
Building and Facility Construction and Maintenance Services,Apr-2005 Arabian American Development Co Final Site Clean Up General Requirements Store Construction General Contractor,72000000
Management and Business Professionals and Administrative Services,Base Rent Dec2019 Store Management Continental Casualty Co Real Estate Lease/Rent,80000000
Management and Business Professionals and Administrative Services,Store Management Base Rent Real Estate Lease/Rent Apr2012 Bancwest Corp/Hi,80000000
Management and Business Professionals and Administrative Services,Retirement and Pension Funds Corporate Services Essex Group Inc 2015Feb Benefits Human Resources,80000000
Building and Facility Construction and Maintenance Services,General Requirements General Contractor Apr2012 American Pad & Paper Co Store Construction Final Site Clean Up,72000000
Management and Business Professionals and Administrative Services,Base Rent Mar2008 Store Management Comforce Corp Real Estate Lease/Rent,80000000
Editorial and Design and Graphic and Fine Art Services,Post Card/Mailer SMAP El Paso Natural Gas Co Mar2014 Direct Mail Printed Collateral,82000000
Management and Business Professionals and Administrative Services,Contingent Labor/Temp Labor Corporate Services Bdi Investment Corp Oct2013 Contingent Labor/Temp Labor Human Resources,80000000
Editorial and Design and Graphic and Fine Art Services,Cone Mills Corp Post Card/Mailer Nov2015 Direct Mail Printed Collateral SMAP,82000000
Editorial and Design and Graphic and Fine Art Services,SMAP Media Buy - Traditional Data General Corp National Advertising Newspaper 2008-Jun ,82000000
Management and Business Professionals and Administrative Services,Real Estate Store Management Lease/Rent Base Rent 2000-Sep  Cazenove Inc                                            /Bd,80000000
Editorial and Design and Graphic and Fine Art Services,Agency Fees & Commissions 3 Production Feb2018 Allen Group Inc SMAP Other Agency,82000000
Management and Business Professionals and Administrative Services,American Family Life Insurance Co /Wi Base Rent 2000-Dec  Lease/Rent Real Estate Store Management,80000000
Management and Business Professionals and Administrative Services,Contingent Labor/Temp Labor Corporate Services American Cattle Co Apr 2019 Contingent Labor/Temp Labor Human Resources,80000000
Editorial and Design and Graphic and Fine Art Services,SMAP Other Agency Production Agency Fees & Commissions 3 2019Dec Digital Equipment Corp,82000000
Building and Facility Construction and Maintenance Services,Dec-2003 Erly Industries Inc Final Site Clean Up General Requirements Store Construction General Contractor,72000000
Transportation and Storage and Mail Services,Ground Transportation Travel and Entertainment Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) 2019-Nov  Akorn Inc,78000000
Transportation and Storage and Mail Services,Miscellaneous Company Car (Field Only) Travel and Entertainment Fort Howard Corp Jul 2010 Miscellaneous Company Car (Field Only) Ground Transportation,78000000
Editorial and Design and Graphic and Fine Art Services,National Advertising SMAP Media Buy - Traditional Outdoor/Out of Home Jun-2003 Castle A M & Co,82000000
Building and Facility Construction and Maintenance Services,Fixtures Store Construction Store Fixtures Store Fixtures Aug2006 Amp Inc,72000000
Building and Facility Construction and Maintenance Services,Fixtures Store Construction Store Fixtures Store Fixtures 2000Jun Aerovox Corp,72000000
Transportation and Storage and Mail Services,Other Corporate Services Auto Leasing and Maintenance Auto Leasing Butler Manufacturing Co Mar-2018 Corporate Services,78000000
Transportation and Storage and Mail Services,Jul 2014 Akorn Inc Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) Travel and Entertainment Ground Transportation,78000000
Transportation and Storage and Mail Services,Brother Industries Ltd/Adr/ Miscellaneous Company Car (Field Only) 2011Nov Miscellaneous Company Car (Field Only) Ground Transportation Travel and Entertainment,78000000
Management and Business Professionals and Administrative Services,2016-Dec  Emc Energies Inc Base Rent Lease/Rent Store Management Real Estate,80000000
Transportation and Storage and Mail Services,Oct 2002 Fort Howard Corp Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) Travel and Entertainment Ground Transportation,78000000
Management and Business Professionals and Administrative Services,Real Estate Lease/Rent Base Rent Commonwealth Edison Co 2019-Dec  Store Management,80000000
Editorial and Design and Graphic and Fine Art Services,Agency Fees & Commissions 3 Production Mar2002 Boeing Co SMAP Other Agency,82000000
Editorial and Design and Graphic and Fine Art Services,Digital Paid Media Media Buy - Mobile or E-Mail Direct E-Messaging Media Buy Boston Co Inc Oct2016 SMAP,82000000
Transportation and Storage and Mail Services,Cooper Laboratories Inc Stockholders Liquidating Trust Jun-2014 Travel and Entertainment Ground Transportation Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only),78000000
Management and Business Professionals and Administrative Services,Lease/Rent Real Estate 2016-Jun  Cazenove Inc                                            /Bd Store Management Base Rent,80000000
Transportation and Storage and Mail Services,Auto Leasing 2007Jun Corporate Services Corning Inc /Ny Other Corporate Services Auto Leasing and Maintenance,78000000
Management and Business Professionals and Administrative Services,"SMAP Talent, Artists & Models for Trade Show Events and Promotions Trade Show Expenses 2009-Feb  Di An Controls Inc",80000000
Financial and Insurance Services,Corporate Services Workmen's Insurance Central Ohio Coal Co Commercial Insurance Workmen's Insurance 2018Aug,84000000
Management and Business Professionals and Administrative Services,Store Management Base Rent Real Estate Lease/Rent 2018Mar Twenty Services Inc,80000000
Transportation and Storage and Mail Services,Butler Manufacturing Co Auto Leasing Dec2014 Auto Leasing and Maintenance Other Corporate Services Corporate Services,78000000
Management and Business Professionals and Administrative Services,Jan2007 First Lexington Capital Corp                            /Adv Base Rent Lease/Rent Store Management Real Estate,80000000
Transportation and Storage and Mail Services,Other Corporate Services Corporate Services Auto Leasing and Maintenance Auto Passenger Road Transportation Repair and Maintenance Jun 2009 Daly John J,78000000
Management and Business Professionals and Administrative Services,2015-Apr  Chesapeake Utilities Corp Base Rent Lease/Rent Store Management Real Estate,80000000
Management and Business Professionals and Administrative Services,Contingent Labor/Temp Labor Corporate Services Commercial Metals Co Nov 2015 Contingent Labor/Temp Labor Human Resources,80000000
Transportation and Storage and Mail Services,Travel and Entertainment Miscellaneous Company Car (Field Only) Texas New Mexico Power Co Ground Transportation Miscellaneous Company Car (Field Only) 2006Jun,78000000
Building and Facility Construction and Maintenance Services,2019-Aug  Seymour Chapnick                                        /Bd Final Site Clean Up General Requirements Store Construction General Contractor,72000000
Building and Facility Construction and Maintenance Services,Asia Supernet Corp 2000-Sep  Store Construction General Contractor General Requirements Final Site Clean Up,72000000
Transportation and Storage and Mail Services,Brother Industries Ltd/Adr/ Feb2014 Travel and Entertainment Ground Transportation Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only),78000000
Editorial and Design and Graphic and Fine Art Services,Charter Communications Inc Nov2012 SMAP Printed Collateral Direct Mail Post Card/Mailer,82000000
Transportation and Storage and Mail Services,Corporate Services Auto Passenger Road Transportation Repair and Maintenance Other Corporate Services Auto Leasing and Maintenance Oct 2010 Daly John J,78000000
Transportation and Storage and Mail Services,Ground Transportation Travel and Entertainment Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) 2011Jun Fort Howard Corp,78000000
Transportation and Storage and Mail Services,Travel and Entertainment Miscellaneous Company Car (Field Only) Fortune National Corp Ground Transportation Miscellaneous Company Car (Field Only) Mar-2014,78000000
Transportation and Storage and Mail Services,Travel and Entertainment Miscellaneous Company Car (Field Only) Ground Transportation Miscellaneous Company Car (Field Only) Jan-2001 Fortune Natural Resources Corp,78000000
Management and Business Professionals and Administrative Services,Feb-2011 Bartlett & Co /Oh/                                      /Adv Base Rent Lease/Rent Store Management Real Estate,80000000
Management and Business Professionals and Administrative Services,Store Management Base Rent Real Estate Lease/Rent Aug-2015 Continental Casualty Co,80000000
Transportation and Storage and Mail Services,Other Corporate Services Auto Leasing and Maintenance Auto Leasing Corning Inc /Ny Jul-2015 Corporate Services,78000000
Building and Facility Construction and Maintenance Services,General Contractor General Requirements Final Site Clean Up Ealing Corp 2000-Feb  Store Construction,72000000
Transportation and Storage and Mail Services,Ground Transportation Travel and Entertainment Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) Apr-2010 Metric Capital Corp                                     /Bd,78000000
Editorial and Design and Graphic and Fine Art Services,Production SMAP Artworking/Typesetting Prototype and Comp Production/Packaging Design 2018-May  Champion Parts Inc,82000000
Management and Business Professionals and Administrative Services,First National Of Nebraska Inc Base Rent Sep 2013 Lease/Rent Real Estate Store Management,80000000
Management and Business Professionals and Administrative Services,Real Estate Lease/Rent Base Rent Atwood Oceanics Inc Apr-2000 Store Management,80000000
Management and Business Professionals and Administrative Services,"Events and Promotions SMAP Trade Show Expenses Talent, Artists & Models for Trade Show Sep2005 Echlin Inc",80000000
Management and Business Professionals and Administrative Services,Base Rent Nov-2004 Store Management Tranzonic Companies Real Estate Lease/Rent,80000000
Editorial and Design and Graphic and Fine Art Services,Other Agency SMAP First Wilkow Venture 2004-May  Agency Fees & Commissions 3 Production,82000000
Transportation and Storage and Mail Services,Travel and Entertainment Miscellaneous Company Car (Field Only) Metric Capital Corp                                     /Bd Ground Transportation Miscellaneous Company Car (Field Only) 2000Mar,78000000
Management and Business Professionals and Administrative Services,Base Rent Store Management Three D Departments Inc 2013Jul Lease/Rent Real Estate,80000000
Transportation and Storage and Mail Services,Travel and Entertainment Miscellaneous Company Car (Field Only) Air Products & Chemicals Inc /De/ Ground Transportation Miscellaneous Company Car (Field Only) Sep-2019,78000000
Management and Business Professionals and Administrative Services,Campbell Kenneth L Base Rent Sep2019 Lease/Rent Real Estate Store Management,80000000
Building and Facility Construction and Maintenance Services,Mar 2017 Dollar General Corp Final Site Clean Up General Requirements Store Construction General Contractor,72000000
Transportation and Storage and Mail Services,Ground Transportation Travel and Entertainment Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) 2015-Dec  Chyron Corp,78000000
Management and Business Professionals and Administrative Services,Real Estate Lease/Rent Base Rent Frequency Electronics Inc 2004-Mar  Store Management,80000000
Transportation and Storage and Mail Services,Auto Leasing Corporate Services Corning Inc /Ny Nov2006 Auto Leasing and Maintenance Other Corporate Services,78000000
Management and Business Professionals and Administrative Services,2014-Apr  Dow Jones & Co Inc Public Relations Agency Agency Fees & Commissions SMAP Events and Promotions,80000000
Editorial and Design and Graphic and Fine Art Services,National Advertising SMAP Media Buy - Traditional Outdoor/Out of Home Apr 2018 Cgg Holding (U.S.) Inc.,82000000
Management and Business Professionals and Administrative Services,American Locker Group Inc Contingent Labor/Temp Labor Aug-2007 Contingent Labor/Temp Labor Human Resources Corporate Services,80000000
Transportation and Storage and Mail Services,Brother Industries Ltd/Adr/ Miscellaneous Company Car (Field Only) Nov2012 Miscellaneous Company Car (Field Only) Ground Transportation Travel and Entertainment,78000000
Transportation and Storage and Mail Services,2008-Mar  Air Products & Chemicals Inc /De/ Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) Travel and Entertainment Ground Transportation,78000000
Building and Facility Construction and Maintenance Services,General Contractor Store Construction General Requirements Final Site Clean Up Nov 2007 American Pad & Paper Co,72000000
Transportation and Storage and Mail Services,Other Corporate Services Corporate Services Auto Leasing and Maintenance Auto Leasing Dec 2001 Butler Manufacturing Co,78000000
Management and Business Professionals and Administrative Services,Ameren Illinois Co Jul-2012 Store Management Real Estate Lease/Rent Base Rent,80000000
Transportation and Storage and Mail Services,Ground Transportation Travel and Entertainment Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) Dec-2004 Fox Pitt Kelton Inc                                     /Bd,78000000
Management and Business Professionals and Administrative Services,May-2005 Texas American Resources Inc Contingent Labor/Temp Labor Contingent Labor/Temp Labor Corporate Services Human Resources,80000000
Management and Business Professionals and Administrative Services,World Wide Ltd Contingent Labor/Temp Labor 2011Nov Contingent Labor/Temp Labor Human Resources Corporate Services,80000000
Management and Business Professionals and Administrative Services,Real Estate Lease/Rent Base Rent Deere John Capital Corp Dec 2014 Store Management,80000000
Editorial and Design and Graphic and Fine Art Services,National Advertising Media Buy - Traditional Newspaper Certron Corp 2006Sep SMAP,82000000
Transportation and Storage and Mail Services,Travel and Entertainment Miscellaneous Company Car (Field Only) Fort Howard Corp Ground Transportation Miscellaneous Company Car (Field Only) Nov2005,78000000
Transportation and Storage and Mail Services,Corporate Services Auto Leasing and Maintenance Corning Inc /Ny Other Corporate Services Auto Leasing 2004Nov,78000000
Management and Business Professionals and Administrative Services,Base Rent Mar2017 Store Management Coventry Care Inc Real Estate Lease/Rent,80000000
Editorial and Design and Graphic and Fine Art Services,SMAP Other Agency Production Agency Fees & Commissions 3 Jul 2004 Century Properties Equity Partnership 72,82000000
Transportation and Storage and Mail Services,"2008-Oct  Bodell Overcash Anderson & Co., Inc. Auto Passenger Road Transportation Repair and Maintenance Auto Leasing and Maintenance Corporate Services Other Corporate Services",78000000
Management and Business Professionals and Administrative Services,Real Estate Store Management Lease/Rent Base Rent 2018Sep American General Equity Services Corporation,80000000
Transportation and Storage and Mail Services,Auto Leasing Mar 2016 Corporate Services Corning Inc /Ny Other Corporate Services Auto Leasing and Maintenance,78000000
Editorial and Design and Graphic and Fine Art Services,Cambex Corp Outdoor/Out of Home Nov 2018 Media Buy - Traditional National Advertising SMAP,82000000
Editorial and Design and Graphic and Fine Art Services,Artworking/Typesetting Production Aug-2016 Froley Revy Investment Co Inc SMAP Prototype and Comp Production/Packaging Design,82000000
Building and Facility Construction and Maintenance Services,General Contractor General Requirements Final Site Clean Up Franklin Resources Inc 2013-Jul  Store Construction,72000000
Transportation and Storage and Mail Services,Miscellaneous Company Car (Field Only) Travel and Entertainment Fortune National Corp 2009-Jun  Miscellaneous Company Car (Field Only) Ground Transportation,78000000
Management and Business Professionals and Administrative Services,Brl Enterprises Inc Base Rent 2019-Dec  Lease/Rent Real Estate Store Management,80000000
Building and Facility Construction and Maintenance Services,Final Site Clean Up May 2015 Store Construction Dentsply International Inc General Contractor General Requirements,72000000
Editorial and Design and Graphic and Fine Art Services,Aquila Distributors Inc                                 /Bd Prototype and Comp Production/Packaging Design Jul 2007 Artworking/Typesetting Production SMAP,82000000
Management and Business Professionals and Administrative Services,Contingent Labor/Temp Labor 2015Oct Corporate Services Badger Meter Inc Human Resources Contingent Labor/Temp Labor,80000000
Management and Business Professionals and Administrative Services,"Events and Promotions Trade Show Expenses Talent, Artists & Models for Trade Show Dewey Electronics Corp May-2008 SMAP",80000000
Building and Facility Construction and Maintenance Services,Store Fixtures 2018Apr Store Construction Smith Brown & Groover Inc Fixtures Store Fixtures,72000000
Management and Business Professionals and Administrative Services,Store Management Lease/Rent Barecap Inc Real Estate Base Rent May2012,80000000
Building and Facility Construction and Maintenance Services,General Contractor General Requirements Final Site Clean Up Chubb Corp Nov2016 Store Construction,72000000
Transportation and Storage and Mail Services,2004May Akorn Inc Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) Travel and Entertainment Ground Transportation,78000000
Transportation and Storage and Mail Services,Corporate Services Auto Leasing Other Corporate Services Auto Leasing and Maintenance 2002-Oct  Corning Inc /Ny,78000000
Transportation and Storage and Mail Services,Texas New Mexico Power Co 2010Feb Travel and Entertainment Ground Transportation Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only),78000000
Building and Facility Construction and Maintenance Services,General Contractor Store Construction General Requirements Final Site Clean Up Sep-2004 Ealing Corp,72000000
Transportation and Storage and Mail Services,Miscellaneous Company Car (Field Only) Travel and Entertainment Brother Industries Ltd/Adr/ 2009-Dec  Miscellaneous Company Car (Field Only) Ground Transportation,78000000
Management and Business Professionals and Administrative Services,Mar2000 Cgs Scientific Corp Contingent Labor/Temp Labor Contingent Labor/Temp Labor Corporate Services Human Resources,80000000
Editorial and Design and Graphic and Fine Art Services,Magazines SMAP Consolidated Tomoka Land Co Jun 2000 Media Buy - Traditional National Advertising,82000000
Editorial and Design and Graphic and Fine Art Services,Ground Transportation Travel and Entertainment Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) 2008Oct Akzo Nobel Nv,82000000
Management and Business Professionals and Administrative Services,Real Estate Store Management Lease/Rent Base Rent Apr 2002 Central Hudson Gas & Electric Corp,80000000
Transportation and Storage and Mail Services,Miscellaneous Company Car (Field Only) Ground Transportation 2016-Nov  Camelot Corp Travel and Entertainment Miscellaneous Company Car (Field Only),78000000
Editorial and Design and Graphic and Fine Art Services,SMAP Catalogue National Advertising Media Buy - Traditional 2010Feb Cannell Peter B & Co Inc,82000000
Building and Facility Construction and Maintenance Services,Store Fixtures Fixtures Sep-2017 Smith Brown & Groover Inc Store Construction Store Fixtures,72000000
Management and Business Professionals and Administrative Services,Store Management Base Rent Real Estate Lease/Rent Aug 2004 Albert Fried & Co Llc,80000000
Management and Business Professionals and Administrative Services,Contingent Labor/Temp Labor Corporate Services Avnet Inc Nov-2019 Contingent Labor/Temp Labor Human Resources,80000000
Transportation and Storage and Mail Services,Auto Leasing Apr-2007 Corporate Services Butler Manufacturing Co Other Corporate Services Auto Leasing and Maintenance,78000000
Editorial and Design and Graphic and Fine Art Services,SMAP Media Buy - Traditional Designatronics Inc National Advertising Outdoor/Out of Home Jun-2010,82000000
Transportation and Storage and Mail Services,Miscellaneous Company Car (Field Only) Travel and Entertainment Metric Capital Corp                                     /Bd Aug 2003 Miscellaneous Company Car (Field Only) Ground Transportation,78000000
Building and Facility Construction and Maintenance Services,Sep 2009 Dollar General Corp Final Site Clean Up General Requirements Store Construction General Contractor,72000000
Transportation and Storage and Mail Services,Miscellaneous Company Car (Field Only) Oct-2007 Travel and Entertainment Chyron Corp Ground Transportation Miscellaneous Company Car (Field Only),78000000
Transportation and Storage and Mail Services,Ground Transportation Travel and Entertainment Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) Dec 2004 Texas New Mexico Power Co,78000000
Management and Business Professionals and Administrative Services,Contingent Labor/Temp Labor Corporate Services Clarkson Industries Inc Aug2004 Contingent Labor/Temp Labor Human Resources,80000000
Transportation and Storage and Mail Services,Miscellaneous Company Car (Field Only) Travel and Entertainment Cooper Laboratories Inc Stockholders Liquidating Trust 2012-Jul  Miscellaneous Company Car (Field Only) Ground Transportation,78000000
Building and Facility Construction and Maintenance Services,Final Site Clean Up Store Construction Bromar Inc Feb 2012 General Requirements General Contractor,72000000
Transportation and Storage and Mail Services,Corning Inc /Ny Auto Leasing 2001Jul Auto Leasing and Maintenance Other Corporate Services Corporate Services,78000000
Transportation and Storage and Mail Services,Ground Transportation Travel and Entertainment Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) Aug2005 Brother Industries Ltd/Adr/,78000000
Transportation and Storage and Mail Services,Ground Transportation Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) Metric Capital Corp                                     /Bd Nov-2004 Travel and Entertainment,78000000
Editorial and Design and Graphic and Fine Art Services,Artworking/Typesetting Production Mar2008 Florida Public Utilities Co SMAP Prototype and Comp Production/Packaging Design,82000000
Management and Business Professionals and Administrative Services,Base Rent May-2016 Store Management Academic Computer Systems Inc Real Estate Lease/Rent,80000000
Building and Facility Construction and Maintenance Services,Sep 2014 Dravo Corp Final Site Clean Up General Requirements Store Construction General Contractor,72000000
Transportation and Storage and Mail Services,Miscellaneous Company Car (Field Only) 2008-Oct  Travel and Entertainment Consolidated Edison Co Of New York Inc Ground Transportation Miscellaneous Company Car (Field Only),78000000
Transportation and Storage and Mail Services,Corporate Services Auto Leasing and Maintenance Butler Manufacturing Co Other Corporate Services Auto Leasing 2013Mar,78000000
Editorial and Design and Graphic and Fine Art Services,Dec-2009 Champion Parts Inc Prototype and Comp Production/Packaging Design Artworking/Typesetting SMAP Production,82000000
Management and Business Professionals and Administrative Services,Human Resources Corporate Services Contingent Labor/Temp Labor Contingent Labor/Temp Labor 2012-Jul  Essex Group Inc,80000000
Transportation and Storage and Mail Services,2010Aug Daly John J Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) Travel and Entertainment Ground Transportation,78000000
Transportation and Storage and Mail Services,Fortune National Corp Jan-2019 Travel and Entertainment Ground Transportation Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only),78000000
Building and Facility Construction and Maintenance Services,General Contractor General Requirements Final Site Clean Up Crane Co /De/ Jul-2004 Facility Construction,72000000
Transportation and Storage and Mail Services,Dec2005 Air Products & Chemicals Inc /De/ Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) Travel and Entertainment Ground Transportation,78000000
Editorial and Design and Graphic and Fine Art Services,Aquila Distributors Inc                                 /Bd Prototype and Comp Production/Packaging Design Jul-2010 Artworking/Typesetting Production SMAP,82000000
Transportation and Storage and Mail Services,Ground Transportation Travel and Entertainment Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) May-2011 Fort Howard Corp,78000000
Management and Business Professionals and Administrative Services,"SMAP Trade Show Expenses Ferro Corp Events and Promotions Talent, Artists & Models for Trade Show 2013Jan",80000000
Management and Business Professionals and Administrative Services,2004-Nov  Amsted Industries Inc /De/ Base Rent Lease/Rent Store Management Real Estate,80000000
Transportation and Storage and Mail Services,Other Corporate Services Auto Leasing and Maintenance Auto Passenger Road Transportation Repair and Maintenance Daly John J May 2005 Corporate Services,78000000
Editorial and Design and Graphic and Fine Art Services,SMAP Artworking/Typesetting Aquila Distributors Inc                                 /Bd Production Prototype and Comp Production/Packaging Design Jan 2012,82000000
Transportation and Storage and Mail Services,Fortune Natural Resources Corp Miscellaneous Company Car (Field Only) 2014-Jan  Miscellaneous Company Car (Field Only) Ground Transportation Travel and Entertainment,78000000
Building and Facility Construction and Maintenance Services,2019Mar Consil Corp Final Site Clean Up General Requirements Store Construction General Contractor,72000000
Transportation and Storage and Mail Services,Burtschy Lawrence Robert /Adv Miscellaneous Company Car (Field Only) Apr 2011 Miscellaneous Company Car (Field Only) Ground Transportation Travel and Entertainment,78000000
Transportation and Storage and Mail Services,Travel and Entertainment Miscellaneous Company Car (Field Only) Chyron Corp Ground Transportation Miscellaneous Company Car (Field Only) Nov2000,78000000
Transportation and Storage and Mail Services,Travel and Entertainment Miscellaneous Company Car (Field Only) Ground Transportation Miscellaneous Company Car (Field Only) Jul2000 Texas New Mexico Power Co,78000000
Transportation and Storage and Mail Services,Feb2010 Brother Industries Ltd/Adr/ Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) Travel and Entertainment Ground Transportation,78000000
Building and Facility Construction and Maintenance Services,Final Site Clean Up 2008-Sep  Store Construction American Pad & Paper Co General Contractor General Requirements,72000000
Editorial and Design and Graphic and Fine Art Services,Production SMAP Artworking/Typesetting Prototype and Comp Production/Packaging Design 2002-Aug  Legg Mason Wood Walker Inc                              /Bd,82000000
Management and Business Professionals and Administrative Services,Corporate Services Contingent Labor/Temp Labor Foodarama Supermarkets Inc Human Resources Contingent Labor/Temp Labor Dec 2019,80000000
Building and Facility Construction and Maintenance Services,Store Construction General Requirements Arabian American Development Co General Contractor Final Site Clean Up Feb-2019,72000000
Transportation and Storage and Mail Services,"Travel and Entertainment Miscellaneous Company Car (Field Only) Ground Transportation Miscellaneous Company Car (Field Only) 2001-May  Hornblower & Weeks, Inc.",78000000
Transportation and Storage and Mail Services,Auto Leasing Corporate Services Butler Manufacturing Co 2003Oct Auto Leasing and Maintenance Other Corporate Services,78000000
Editorial and Design and Graphic and Fine Art Services,Jul 2012 Cantel Industries Inc Catalogue Media Buy - Traditional SMAP National Advertising,82000000
Financial and Insurance Services,Building and Property Insurance 2002Mar Corporate Services Avery Dennison Corp Commercial Insurance Building and Property Insurance,84000000
Building and Facility Construction and Maintenance Services,General Contractor General Requirements Final Site Clean Up Chubb Corp Jun 2013 Store Construction,72000000
Editorial and Design and Graphic and Fine Art Services,"SMAP Media Buy - Traditional Cv Brokerage, Inc National Advertising Catalogue 2016Apr",82000000
Building and Facility Construction and Maintenance Services,General Contractor Facility Construction General Requirements Final Site Clean Up 2003-Feb  Crane Co /De/,72000000
Building and Facility Construction and Maintenance Services,General Contractor General Requirements Final Site Clean Up Ealing Corp Jan 2008 Store Construction,72000000
Transportation and Storage and Mail Services,Miscellaneous Company Car (Field Only) Travel and Entertainment Fort Howard Corp 2003-Aug  Miscellaneous Company Car (Field Only) Ground Transportation,78000000
Management and Business Professionals and Administrative Services,Corporate Services Contingent Labor/Temp Labor Flanigans Enterprises Inc Human Resources Contingent Labor/Temp Labor Jan2008,80000000
Management and Business Professionals and Administrative Services,Base Rent May2013 Facility Management Applied Materials Inc /De Real Estate Lease/Rent,80000000
Management and Business Professionals and Administrative Services,Dec 2016 Ashland Inc Contingent Labor/Temp Labor Contingent Labor/Temp Labor Corporate Services Human Resources,80000000
Management and Business Professionals and Administrative Services,2006-Nov  Clarkson Industries Inc Contingent Labor/Temp Labor Contingent Labor/Temp Labor Corporate Services Human Resources,80000000
Management and Business Professionals and Administrative Services,Contingent Labor/Temp Labor Aug-2019 Corporate Services American Crystal Sugar Co /Mn/ Human Resources Contingent Labor/Temp Labor,80000000
Management and Business Professionals and Administrative Services,Farrel Corp Base Rent Jul 2008 Lease/Rent Real Estate Store Management,80000000
Building and Facility Construction and Maintenance Services,Store Construction General Requirements Arabian American Development Co General Contractor Final Site Clean Up Aug-2004,72000000
